Total,Change
101,0.05
102,0.10
103,0.15
104,0.20
105,0.25
106,0.30
107,0.35
108,0.40
109,0.45
110,0.50
111,0.55
112,0.60
113,0.65
114,0.70
115,0.75
116,0.80
117,0.85
118,0.90
119,0.95
120,1.00
121,1.10
122,1.20
123,1.30
124,1.40
125,1.50
126,1.60
127,1.70
128,1.80
129,1.90
130,2.00
131,2.10
132,2.20
133,2.30
134,2.40
135,2.50
136,2.60
137,2.70
138,2.80
139,2.90
140,3.00
141,3.15
142,3.30
143,3.45
144,3.60
145,3.75
146,3.90
147,4.05
148,4.20
149,4.35
150,4.50
151,4.65
152,4.80
153,4.95
154,5.10
155,5.25
156,5.40
157,5.55
158,5.70
159,5.85
160,6.00
161,6.20
162,6.40
163,6.60
164,6.80
165,7.00
166,7.20
167,7.40
168,7.60
169,7.80
170,8.00
171,8.20
172,8.40
173,8.60
174,8.80
175,9.00
176,9.20
177,9.40
178,9.60
179,9.80
180,10.00
181,10.20
182,10.40
183,10.60
184,10.80
185,11.00
186,11.20
187,11.40
188,11.60
189,11.80
190,12.00
191,12.20
192,12.40
193,12.60
194,12.80
195,13.00
196,13.20
197,13.40
198,13.60
199,13.80
200,14.00